# Z=6	: 0.027292
# Z=8	: 0.072708
# Z=18	: 0.900000
#
#       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
#       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
#                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
#                                             FIELD    FIELD    SCATT.   SCATT.
#         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       1.000E-03 2.877E+00 7.335E-03 3.257E+03 0.000E+00 0.000E+00 3.260E+03 3.257E+03
       1.500E-03 2.667E+00 1.475E-02 1.123E+03 0.000E+00 0.000E+00 1.126E+03 1.123E+03
       2.000E-03 2.428E+00 2.296E-02 5.171E+02 0.000E+00 0.000E+00 5.196E+02 5.171E+02
       3.000E-03 1.965E+00 3.891E-02 1.696E+02 0.000E+00 0.000E+00 1.716E+02 1.696E+02
       3.203E-03 1.879E+00 4.190E-02 1.413E+02 0.000E+00 0.000E+00 1.432E+02 1.414E+02
       4.000E-03 1.594E+00 5.267E-02 6.876E+02 0.000E+00 0.000E+00 6.892E+02 6.876E+02
       5.000E-03 1.323E+00 6.397E-02 3.829E+02 0.000E+00 0.000E+00 3.843E+02 3.829E+02
       6.000E-03 1.125E+00 7.304E-02 2.345E+02 0.000E+00 0.000E+00 2.357E+02 2.346E+02
       8.000E-03 8.629E-01 8.664E-02 1.062E+02 0.000E+00 0.000E+00 1.072E+02 1.063E+02
       1.000E-02 6.900E-01 9.669E-02 5.655E+01 0.000E+00 0.000E+00 5.734E+01 5.665E+01
       1.500E-02 4.235E-01 1.141E-01 1.747E+01 0.000E+00 0.000E+00 1.800E+01 1.758E+01
       2.000E-02 2.804E-01 1.247E-01 7.437E+00 0.000E+00 0.000E+00 7.842E+00 7.561E+00
       3.000E-02 1.502E-01 1.346E-01 2.176E+00 0.000E+00 0.000E+00 2.461E+00 2.311E+00
       4.000E-02 9.483E-02 1.379E-01 8.970E-01 0.000E+00 0.000E+00 1.130E+00 1.035E+00
       5.000E-02 6.558E-02 1.384E-01 4.477E-01 0.000E+00 0.000E+00 6.517E-01 5.861E-01
       6.000E-02 4.800E-02 1.376E-01 2.528E-01 0.000E+00 0.000E+00 4.384E-01 3.904E-01
       8.000E-02 2.878E-02 1.342E-01 1.020E-01 0.000E+00 0.000E+00 2.650E-01 2.362E-01
       1.000E-01 1.911E-02 1.298E-01 5.033E-02 0.000E+00 0.000E+00 1.993E-01 1.802E-01
       1.500E-01 8.914E-03 1.191E-01 1.396E-02 0.000E+00 0.000E+00 1.420E-01 1.330E-01
       2.000E-01 5.133E-03 1.100E-01 5.679E-03 0.000E+00 0.000E+00 1.208E-01 1.157E-01
       3.000E-01 2.329E-03 9.628E-02 1.656E-03 0.000E+00 0.000E+00 1.003E-01 9.794E-02
       4.000E-01 1.321E-03 8.650E-02 7.213E-04 0.000E+00 0.000E+00 8.855E-02 8.723E-02
       5.000E-01 8.486E-04 7.910E-02 3.927E-04 0.000E+00 0.000E+00 8.034E-02 7.950E-02
       6.000E-01 5.906E-04 7.324E-02 2.460E-04 0.000E+00 0.000E+00 7.408E-02 7.349E-02
       8.000E-01 3.329E-04 6.440E-02 1.248E-04 0.000E+00 0.000E+00 6.485E-02 6.452E-02
       1.000E+00 2.134E-04 5.793E-02 7.762E-05 0.000E+00 0.000E+00 5.822E-02 5.801E-02
       1.022E+00 2.043E-04 5.732E-02 7.343E-05 0.000E+00 0.000E+00 5.760E-02 5.740E-02
       1.250E+00 1.366E-04 5.182E-02 4.975E-05 4.015E-05 0.000E+00 5.205E-02 5.191E-02
       1.500E+00 9.491E-05 4.709E-02 3.596E-05 2.144E-04 0.000E+00 4.744E-02 4.734E-02
       2.000E+00 5.341E-05 4.020E-02 2.233E-05 8.375E-04 0.000E+00 4.112E-02 4.106E-02
       2.044E+00 5.113E-05 3.970E-02 2.159E-05 9.025E-04 0.000E+00 4.068E-02 4.063E-02
       3.000E+00 2.375E-05 3.164E-02 1.225E-05 2.363E-03 1.107E-05 3.405E-02 3.402E-02
       4.000E+00 1.336E-05 2.638E-02 8.315E-06 3.807E-03 4.519E-05 3.025E-02 3.024E-02
       5.000E+00 8.549E-06 2.278E-02 6.256E-06 5.088E-03 9.004E-05 2.798E-02 2.797E-02
       6.000E+00 5.936E-06 2.015E-02 5.001E-06 6.234E-03 1.383E-04 2.653E-02 2.652E-02
       7.000E+00 4.362E-06 1.810E-02 4.160E-06 7.255E-03 1.864E-04 2.555E-02 2.555E-02
       8.000E+00 3.340E-06 1.647E-02 3.557E-06 8.172E-03 2.332E-04 2.489E-02 2.488E-02
       9.000E+00 2.639E-06 1.515E-02 3.106E-06 9.003E-03 2.779E-04 2.443E-02 2.443E-02
       1.000E+01 2.138E-06 1.403E-02 2.756E-06 9.757E-03 3.205E-04 2.412E-02 2.411E-02
       1.100E+01 1.767E-06 1.309E-02 2.477E-06 1.044E-02 3.609E-04 2.389E-02 2.389E-02
       1.200E+01 1.484E-06 1.227E-02 2.248E-06 1.107E-02 3.991E-04 2.374E-02 2.374E-02
       1.300E+01 1.265E-06 1.156E-02 2.057E-06 1.165E-02 4.352E-04 2.365E-02 2.365E-02
       1.400E+01 1.090E-06 1.094E-02 1.896E-06 1.219E-02 4.695E-04 2.360E-02 2.360E-02
       1.500E+01 9.499E-07 1.039E-02 1.758E-06 1.270E-02 5.022E-04 2.359E-02 2.359E-02
       1.600E+01 8.348E-07 9.891E-03 1.640E-06 1.317E-02 5.332E-04 2.360E-02 2.360E-02
       1.800E+01 6.597E-07 9.040E-03 1.444E-06 1.404E-02 5.910E-04 2.367E-02 2.367E-02
       2.000E+01 5.343E-07 8.336E-03 1.290E-06 1.481E-02 6.436E-04 2.380E-02 2.380E-02
       2.200E+01 4.416E-07 7.743E-03 1.165E-06 1.551E-02 6.922E-04 2.395E-02 2.395E-02
       2.400E+01 3.711E-07 7.236E-03 1.063E-06 1.616E-02 7.369E-04 2.413E-02 2.413E-02
       2.600E+01 3.162E-07 6.794E-03 9.768E-07 1.673E-02 7.783E-04 2.430E-02 2.430E-02
       2.800E+01 2.726E-07 6.408E-03 9.036E-07 1.727E-02 8.170E-04 2.450E-02 2.450E-02
       3.000E+01 2.375E-07 6.069E-03 8.406E-07 1.777E-02 8.529E-04 2.470E-02 2.470E-02
       4.000E+01 1.336E-07 4.822E-03 6.234E-07 1.982E-02 1.004E-03 2.564E-02 2.564E-02
       5.000E+01 8.549E-08 4.026E-03 4.952E-07 2.135E-02 1.120E-03 2.649E-02 2.649E-02
       6.000E+01 5.936E-08 3.468E-03 4.109E-07 2.253E-02 1.214E-03 2.722E-02 2.722E-02
       8.000E+01 3.339E-08 2.736E-03 3.063E-07 2.431E-02 1.357E-03 2.840E-02 2.840E-02
       1.000E+02 2.138E-08 2.271E-03 2.441E-07 2.559E-02 1.463E-03 2.932E-02 2.932E-02
       1.500E+02 9.498E-09 1.617E-03 1.621E-07 2.767E-02 1.645E-03 3.093E-02 3.093E-02
       2.000E+02 5.343E-09 1.268E-03 1.212E-07 2.893E-02 1.761E-03 3.196E-02 3.196E-02
       3.000E+02 2.375E-09 8.985E-04 8.063E-08 3.044E-02 1.908E-03 3.325E-02 3.325E-02
       4.000E+02 1.336E-09 7.036E-04 6.040E-08 3.132E-02 1.996E-03 3.402E-02 3.402E-02
       5.000E+02 8.549E-10 5.825E-04 4.828E-08 3.190E-02 2.058E-03 3.454E-02 3.454E-02
       6.000E+02 5.936E-10 4.988E-04 4.023E-08 3.232E-02 2.105E-03 3.492E-02 3.492E-02
       8.000E+02 3.339E-10 3.895E-04 3.015E-08 3.288E-02 2.167E-03 3.543E-02 3.543E-02
       1.000E+03 2.138E-10 3.205E-04 2.411E-08 3.324E-02 2.210E-03 3.577E-02 3.577E-02
       1.500E+03 9.498E-11 2.239E-04 1.607E-08 3.377E-02 2.273E-03 3.627E-02 3.627E-02
       2.000E+03 5.343E-11 1.733E-04 1.205E-08 3.406E-02 2.309E-03 3.654E-02 3.654E-02
       3.000E+03 2.375E-11 1.204E-04 8.029E-09 3.438E-02 2.349E-03 3.684E-02 3.684E-02
       4.000E+03 1.336E-11 9.296E-05 6.021E-09 3.455E-02 2.372E-03 3.701E-02 3.701E-02
       5.000E+03 8.549E-12 7.602E-05 4.816E-09 3.465E-02 2.386E-03 3.711E-02 3.711E-02
       6.000E+03 5.936E-12 6.445E-05 4.013E-09 3.472E-02 2.396E-03 3.718E-02 3.718E-02
       8.000E+03 3.339E-12 4.967E-05 3.010E-09 3.482E-02 2.410E-03 3.728E-02 3.728E-02
       1.000E+04 2.138E-12 4.054E-05 2.407E-09 3.488E-02 2.418E-03 3.734E-02 3.734E-02
       1.500E+04 9.498E-13 2.803E-05 1.606E-09 3.497E-02 2.428E-03 3.742E-02 3.742E-02
       2.000E+04 5.343E-13 2.155E-05 1.204E-09 3.502E-02 2.436E-03 3.748E-02 3.748E-02
       3.000E+04 2.375E-13 1.486E-05 8.026E-10 3.507E-02 2.442E-03 3.752E-02 3.752E-02
       4.000E+04 1.336E-13 1.141E-05 6.020E-10 3.510E-02 2.446E-03 3.755E-02 3.755E-02
       5.000E+04 8.549E-14 9.289E-06 4.816E-10 3.511E-02 2.449E-03 3.757E-02 3.757E-02
       6.000E+04 5.936E-14 7.852E-06 4.013E-10 3.511E-02 2.450E-03 3.757E-02 3.757E-02
       8.000E+04 3.339E-14 6.020E-06 3.010E-10 3.512E-02 2.452E-03 3.758E-02 3.758E-02
       1.000E+05 2.138E-14 4.898E-06 2.407E-10 3.514E-02 2.453E-03 3.760E-02 3.760E-02
