# Z=1	: 0.173414
# Z=6	: 0.826586
#
#       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
#       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
#                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
#                                             FIELD    FIELD    SCATT.   SCATT.
#         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
#
       1.000E-03 9.520E-01 1.917E-02 1.828E+03 0.000E+00 0.000E+00 1.829E+03 1.828E+03
       1.500E-03 8.441E-01 3.782E-02 5.784E+02 0.000E+00 0.000E+00 5.793E+02 5.785E+02
       2.000E-03 7.305E-01 5.759E-02 2.495E+02 0.000E+00 0.000E+00 2.503E+02 2.495E+02
       3.000E-03 5.351E-01 9.256E-02 7.413E+01 0.000E+00 0.000E+00 7.476E+01 7.422E+01
       4.000E-03 3.999E-01 1.183E-01 3.079E+01 0.000E+00 0.000E+00 3.131E+01 3.091E+01
       5.000E-03 3.110E-01 1.360E-01 1.543E+01 0.000E+00 0.000E+00 1.587E+01 1.556E+01
       6.000E-03 2.515E-01 1.483E-01 8.718E+00 0.000E+00 0.000E+00 9.118E+00 8.867E+00
       8.000E-03 1.796E-01 1.640E-01 3.507E+00 0.000E+00 0.000E+00 3.850E+00 3.671E+00
       1.000E-02 1.382E-01 1.739E-01 1.716E+00 0.000E+00 0.000E+00 2.028E+00 1.890E+00
       1.500E-02 8.291E-02 1.880E-01 4.618E-01 0.000E+00 0.000E+00 7.327E-01 6.498E-01
       2.000E-02 5.470E-02 1.947E-01 1.800E-01 0.000E+00 0.000E+00 4.294E-01 3.747E-01
       3.000E-02 2.834E-02 1.981E-01 4.717E-02 0.000E+00 0.000E+00 2.737E-01 2.453E-01
       4.000E-02 1.720E-02 1.963E-01 1.813E-02 0.000E+00 0.000E+00 2.316E-01 2.144E-01
       5.000E-02 1.152E-02 1.927E-01 8.618E-03 0.000E+00 0.000E+00 2.128E-01 2.013E-01
       6.000E-02 8.239E-03 1.885E-01 4.688E-03 0.000E+00 0.000E+00 2.015E-01 1.932E-01
       8.000E-02 4.795E-03 1.801E-01 1.794E-03 0.000E+00 0.000E+00 1.867E-01 1.819E-01
       1.000E-01 3.122E-03 1.722E-01 8.527E-04 0.000E+00 0.000E+00 1.762E-01 1.730E-01
       1.500E-01 1.414E-03 1.557E-01 2.237E-04 0.000E+00 0.000E+00 1.573E-01 1.559E-01
       2.000E-01 8.007E-04 1.429E-01 8.792E-05 0.000E+00 0.000E+00 1.437E-01 1.429E-01
       3.000E-01 3.578E-04 1.244E-01 2.464E-05 0.000E+00 0.000E+00 1.248E-01 1.244E-01
       4.000E-01 2.016E-04 1.115E-01 1.051E-05 0.000E+00 0.000E+00 1.117E-01 1.115E-01
       5.000E-01 1.291E-04 1.019E-01 5.654E-06 0.000E+00 0.000E+00 1.020E-01 1.019E-01
       6.000E-01 8.973E-05 9.424E-02 3.516E-06 0.000E+00 0.000E+00 9.434E-02 9.425E-02
       8.000E-01 5.048E-05 8.279E-02 1.773E-06 0.000E+00 0.000E+00 8.285E-02 8.280E-02
       1.000E+00 3.232E-05 7.445E-02 1.102E-06 0.000E+00 0.000E+00 7.449E-02 7.445E-02
       1.022E+00 3.094E-05 7.369E-02 1.016E-06 0.000E+00 0.000E+00 7.372E-02 7.369E-02
       1.250E+00 2.068E-05 6.658E-02 6.902E-07 1.270E-05 0.000E+00 6.661E-02 6.659E-02
