# Z=6	: 0.272916
# Z=8	: 0.727084
#
#       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
#       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
#                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
#                                             FIELD    FIELD    SCATT.   SCATT.
#         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
#
       1.000E-03 1.386E+00 9.637E-03 3.939E+03 0.000E+00 0.000E+00 3.941E+03 3.939E+03
       1.500E-03 1.274E+00 1.970E-02 1.316E+03 0.000E+00 0.000E+00 1.317E+03 1.316E+03
       2.000E-03 1.145E+00 3.123E-02 5.867E+02 0.000E+00 0.000E+00 5.879E+02 5.867E+02
       3.000E-03 8.960E-01 5.449E-02 1.815E+02 0.000E+00 0.000E+00 1.825E+02 1.816E+02
       4.000E-03 6.951E-01 7.467E-02 7.727E+01 0.000E+00 0.000E+00 7.804E+01 7.734E+01
       5.000E-03 5.475E-01 9.072E-02 3.941E+01 0.000E+00 0.000E+00 4.005E+01 3.950E+01
       6.000E-03 4.417E-01 1.031E-01 2.258E+01 0.000E+00 0.000E+00 2.312E+01 2.268E+01
       8.000E-03 3.078E-01 1.201E-01 9.277E+00 0.000E+00 0.000E+00 9.705E+00 9.397E+00
       1.000E-02 2.307E-01 1.310E-01 4.614E+00 0.000E+00 0.000E+00 4.976E+00 4.745E+00
       1.500E-02 1.348E-01 1.470E-01 1.273E+00 0.000E+00 0.000E+00 1.555E+00 1.420E+00
       2.000E-02 8.957E-02 1.555E-01 5.047E-01 0.000E+00 0.000E+00 7.498E-01 6.602E-01
       3.000E-02 4.733E-02 1.625E-01 1.349E-01 0.000E+00 0.000E+00 3.447E-01 2.973E-01
       4.000E-02 2.896E-02 1.632E-01 5.248E-02 0.000E+00 0.000E+00 2.446E-01 2.157E-01
       5.000E-02 1.949E-02 1.615E-01 2.515E-02 0.000E+00 0.000E+00 2.061E-01 1.866E-01
       6.000E-02 1.400E-02 1.588E-01 1.377E-02 0.000E+00 0.000E+00 1.865E-01 1.725E-01
       8.000E-02 8.203E-03 1.525E-01 5.316E-03 0.000E+00 0.000E+00 1.660E-01 1.578E-01
       1.000E-01 5.369E-03 1.462E-01 2.543E-03 0.000E+00 0.000E+00 1.541E-01 1.487E-01
       1.500E-01 2.448E-03 1.326E-01 6.721E-04 0.000E+00 0.000E+00 1.357E-01 1.333E-01
       2.000E-01 1.390E-03 1.218E-01 2.654E-04 0.000E+00 0.000E+00 1.235E-01 1.221E-01
       3.000E-01 6.224E-04 1.062E-01 7.494E-05 0.000E+00 0.000E+00 1.069E-01 1.063E-01
       4.000E-01 3.510E-04 9.522E-02 3.207E-05 0.000E+00 0.000E+00 9.561E-02 9.526E-02
