#gases: ArCO2,70/30 @ 25 degC, 779 Torr
# Estart=100, Estop=2000, Estep=19 
#idx, Efield,transDiff,longDiff,e_Velocity
0,100,0.0232328,0.0232548,0.000227391
1,200,0.0173792,0.0173853,0.000466453
2,300,0.0149005,0.0152561,0.000710184
3,400,0.0137036,0.0145503,0.000965401
4,500,0.0131016,0.0146252,0.00124124
5,600,0.0129442,0.0149154,0.00154531
6,700,0.0130601,0.0155676,0.00188559
7,800,0.0132877,0.0163293,0.00226198
8,900,0.0137788,0.0175405,0.0026765
9,1000,0.0145895,0.018069,0.00311985
10,1100,0.0153835,0.0184968,0.00357883
11,1200,0.0162638,0.0186902,0.00403907
12,1300,0.017274,0.0183105,0.00448236
13,1400,0.0183475,0.0178255,0.00489079
14,1500,0.0190987,0.0176909,0.00525167
15,1600,0.0198379,0.0169345,0.00556277
16,1700,0.0208958,0.0163765,0.00582143
17,1800,0.0215236,0.0158927,0.00603328
18,1900,0.0221562,0.0150151,0.00620394
