#ArCO2,80/20 @ 25 degC, 779 Torr
# Estart=100, Estop=2000, Estep=19 
#idx, Efield,transDiff,longDiff,e_Velocity
0,100,0.0240488,0.0240608,0.000331482
1,200,0.0181207,0.0185396,0.00068727
2,300,0.0164179,0.0176518,0.0010698
3,400,0.0158089,0.017841,0.0015037
4,500,0.0159334,0.0189958,0.00200631
5,600,0.0164916,0.0202104,0.00257469
6,700,0.0175045,0.0209015,0.00318698
7,800,0.0187768,0.0210251,0.00380076
8,900,0.0201128,0.0205242,0.00436893
9,1000,0.0215602,0.0194612,0.00485322
10,1100,0.0229215,0.0184115,0.00523625
11,1200,0.0239015,0.0172437,0.00551473
12,1300,0.0251385,0.0164435,0.00570427
13,1400,0.0262028,0.0158513,0.00582694
14,1500,0.0268646,0.0151641,0.00590181
15,1600,0.0275832,0.0151697,0.00594516
16,1700,0.0281038,0.0152165,0.0059699
17,1800,0.028605,0.015151,0.00598518
18,1900,0.028985,0.015325,0.00599463
