#ArCO2,80/20 @ 25 degC, 684 Torr
# Estart=100, Estop=2000, Estep=19 
#idx, Efield,transDiff,longDiff,e_Velocity
0,100,0.0241901,0.0242484,0.000377369
1,200,0.0187177,0.0193137,0.000786564
2,300,0.0170098,0.0187667,0.00123987
3,400,0.0168308,0.0198962,0.00177124
4,500,0.0173599,0.0210453,0.0023917
5,600,0.0184546,0.0224026,0.00307937
6,700,0.0199847,0.0223388,0.00377936
7,800,0.0216815,0.0215281,0.00442425
8,900,0.0233072,0.0204348,0.00495657
9,1000,0.0247598,0.0190808,0.00535291
10,1100,0.0263056,0.0178379,0.0056239
11,1200,0.027346,0.0170474,0.00579216
12,1300,0.0283878,0.0163452,0.00589037
13,1400,0.0291664,0.0161632,0.00594304
14,1500,0.0301113,0.0160634,0.00597123
15,1600,0.0306049,0.0161196,0.00598744
16,1700,0.0308051,0.0162721,0.00599794
17,1800,0.0313179,0.0164107,0.00601041
18,1900,0.0316543,0.0166201,0.00602597
