#ArCO2,90/10 @ 25 degC, 779 Torr
# Estart=100, Estop=2000, Estep=19 
# idx, Efield,transDiff,longDiff,e_Velocity
0,100,0.0256968,0.0267452,0.000623022
1,200,0.0220468,0.0246226,0.00139345
2,300,0.022493,0.0265648,0.00235724
3,400,0.0242767,0.026129,0.00337999
4,500,0.0264768,0.023943,0.00422628
5,600,0.0290037,0.0211266,0.00475859
6,700,0.0311946,0.0190798,0.00499769
7,800,0.0328766,0.0175965,0.00504269
8,900,0.034156,0.0169559,0.00498865
9,1000,0.0357216,0.0169015,0.00490167
10,1100,0.0368931,0.0170949,0.00481231
11,1200,0.037259,0.0175021,0.00473792
12,1300,0.0377663,0.0176881,0.00468305
13,1400,0.0383241,0.0180877,0.00464636
14,1500,0.0382692,0.0184379,0.00462611
15,1600,0.0382688,0.0190252,0.00462122
16,1700,0.0384098,0.0191579,0.00462787
17,1800,0.0382239,0.0192213,0.00464434
18,1900,0.0383592,0.0195939,0.00466692
