#NeCO2,70/30 @ 25 degC, 779 Torr
# Estart=100, Estop=2000, Estep=19 
#idx, Efield,transDiff,longDiff,e_Velocity
0,100,0.0234148,0.0235115,0.000232208
1,200,0.0174158,0.0173962,0.000472748
2,300,0.015018,0.0148839,0.000713807
3,400,0.0138284,0.0142006,0.000961729
4,500,0.0132762,0.0139901,0.00122359
5,600,0.0127252,0.014118,0.00150429
6,700,0.012806,0.014697,0.00180987
7,800,0.0129301,0.0153498,0.0021444
8,900,0.0133528,0.0161062,0.00250765
9,1000,0.0139763,0.0169753,0.00289674
10,1100,0.014662,0.0179198,0.00330901
11,1200,0.0154875,0.0184429,0.00373342
12,1300,0.0165153,0.0186629,0.00415847
13,1400,0.0176376,0.0188716,0.00457487
14,1500,0.0185825,0.0186367,0.00496563
15,1600,0.019558,0.0189198,0.00532704
16,1700,0.0205674,0.0186952,0.00565304
17,1800,0.0212421,0.0181543,0.00594141
18,1900,0.0218089,0.017609,0.00619485
