#NeCO2,80/20 @ 25 degC, 684 Torr
# Estart=100, Estop=2000, Estep=19 
#idx, Efield,transDiff,longDiff,e_Velocity
0,100,0.0243365,0.0244222,0.000387514
1,200,0.0188657,0.0190612,0.000790452
2,300,0.0171292,0.0178469,0.00121171
3,400,0.0165171,0.018262,0.00167456
4,500,0.0166878,0.0191907,0.00218924
5,600,0.0173985,0.0200516,0.00275289
6,700,0.0186594,0.0210886,0.00334627
7,800,0.0203066,0.0215419,0.00393639
8,900,0.0219608,0.0215555,0.00448477
9,1000,0.0237693,0.0212688,0.00496275
10,1100,0.0252586,0.0209485,0.00535854
11,1200,0.0267234,0.0205121,0.00567639
12,1300,0.0277927,0.0202335,0.00593176
13,1400,0.0287606,0.0200278,0.00614135
14,1500,0.0296529,0.0201694,0.00632043
15,1600,0.0300272,0.0200932,0.00647792
16,1700,0.0305479,0.0204334,0.00662398
17,1800,0.0306792,0.0204995,0.00676006
18,1900,0.0311259,0.0204075,0.00689224
